description,biddable,startprice,condition,cellular,carrier,color,storage,productline,UniqueID,retailprice
"Excellent, like-new condition. No Scratches, scuffs, or damage.",0,400,Used,0,None,Space Gray,128,iPad Air,12494,699
,0,485,New,1,Unknown,Gold,16,iPad mini 3,12495,529
,1,299,Used,1,AT&T,Unknown,16,iPad 4,12496,429
Check SN DLXNQAT9G5WT Barely used no scratches or blemishes. Comes with ZAGG GLASS INSTALLED. Love ,1,399,Used,1,Unknown,Gold,16,iPad Air 2,12497,629
,1,0.99,Used,0,None,Unknown,16,iPad mini,12498,209
,1,250,Used,0,None,Unknown,64,iPad 1,12499,249
,1,599.99,New,0,None,Space Gray,16,Unknown,12500,299
,1,729.99,New,0,None,Space Gray,64,iPad Air 2,12501,599
,1,240,New,0,None,Space Gray,16,iPad mini,12502,209
,1,879.99,New,0,None,Space Gray,128,iPad Air 2,12503,699
This iPad mini is brand-new I had it for about a month used it maybe three times.it still has the ,1,300,New other (see details),0,None,White,32,iPad mini 2,12504,349
,0,160,Used,0,None,Black,16,iPad 2,12505,199
,1,599.99,New,0,None,Space Gray,64,iPad mini 3,12506,499
,1,17.75,New,Unknown,Unknown,Black,Unknown,Unknown,12507,NA
,1,599.99,New,0,None,Gold,64,iPad mini 3,12508,499
,1,729.99,New,0,None,Gold,128,iPad mini 3,12509,599
,0,189.99,Used,0,None,Space Gray,16,iPad mini,12510,209
Very good condition,0,310,Seller refurbished,0,None,Black,16,iPad Air,12511,399
Used a few times,0,95,New other (see details),0,None,Black,16,iPad 1,12512,149
WORKS GOOD. HAS 64GB. SMALL CRACK IN BOTTOM RIGHT CORNER. SCREEN WAS REPLACED.,0,204.95,Used,1,AT&T,Unknown,64,iPad 2,12513,429
,0,399.99,Manufacturer refurbished,0,None,Unknown,128,iPad mini 2,12514,449
iPad 2 works fine. UnlockedCracked Screen/ Mic is brokenCharger not included,0,100,Used,0,None,Unknown,16,iPad 2,12515,199
,0,155,Seller refurbished,0,None,Black,16,iPad 2,12516,199
,0,250,Used,0,None,White,32,iPad 3,12517,299
,0,250,Used,1,AT&T,White,16,iPad 2,12518,329
,0,275,Used,0,None,White,16,iPad Air,12519,399
,0,235,Used,0,None,Unknown,32,iPad 1,12520,199
No scratches or money back! Original accessories included.,0,309.98,New other (see details),Unknown,Unknown,White,Unknown,Unknown,12521,NA
,0,500,New other (see details),1,T-Mobile,Unknown,64,iPad Air,12522,629
,0,275,Used,1,AT&T,Black,64,iPad 2,12523,429
,0,250,New,0,None,Space Gray,16,Unknown,12524,299
,0,300,Used,0,None,Black,64,iPad 2,12525,299
Small crack on lower right corner. Other than that works awesome.,0,300,Used,0,None,Unknown,64,iPad 2,12526,299
,0,550,New other (see details),1,Verizon,Space Gray,64,iPad mini 2,12527,529
Great condition,0,255,Used,0,None,Unknown,16,iPad 2,12528,199
,0,299,Used,0,None,White,32,iPad mini 2,12529,349
"No scratches on screen or back of device, hardly any wear and tear, and no missing or damaged parts.",0,750,New other (see details),0,None,Space Gray,64,iPad Air,12530,599
,0,180,Used,0,None,White,16,iPad 2,12531,199
,0,225,Used,0,None,Black,32,iPad 1,12532,199
,0,420,New,1,AT&T,White,16,iPad Air,12533,529
,0,239,Manufacturer refurbished,1,AT&T,Unknown,32,iPad 2,12534,379
"This item has been previously used.  The item may have some signs of cosmetic wear, but is fully ",0,182.77,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12535,NA
,0,279,New,0,None,White,16,iPad mini,12536,209
,0,299.99,Used,0,None,Black,32,iPad 4,12537,349
,0,280,New,0,None,Unknown,16,iPad mini,12538,209
,0,350,Used,0,None,Unknown,16,iPad Air,12539,399
,0,220,Used,0,None,White,16,iPad 3,12540,249
,0,579.99,New,0,None,Unknown,64,iPad Air 2,12541,599
,0,120,Seller refurbished,Unknown,Unknown,Black,16,iPad 1,12542,149
,0,190,Used,1,Verizon,White,32,iPad 2,12543,379
,0,510,New,Unknown,Unknown,Space Gray,16,iPad mini 3,12544,399
,0,250,Used,Unknown,Unknown,White,16,iPad 2,12545,199
There is only one tiny dent on it. But you can barely see it.,0,300,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12546,NA
,0,400,Used,0,None,White,32,iPad 4,12547,349
,0,820,Used,0,None,White,128,iPad Air,12548,699
,0,149.99,For parts or not working,1,Verizon,Unknown,32,iPad 3,12549,429
"Stuck on intro screen, read description below.",0,105,For parts or not working,1,AT&T,Black,16,iPad 3,12550,379
,1,100,For parts or not working,1,AT&T,Unknown,16,iPad 4,12551,429
,0,119,For parts or not working,0,None,Black,16,iPad mini 2,12552,299
Power button does not work.,0,69,For parts or not working,0,None,Unknown,16,iPad 1,12553,149
,0,80,For parts or not working,0,None,Unknown,16,iPad 2,12554,199
,1,50,For parts or not working,0,None,Unknown,32,iPad 2,12555,249
,1,49,For parts or not working,0,None,Unknown,16,iPad 2,12556,199
****read description****----I cloud account need to activate it&#039;s like new,0,150,For parts or not working,Unknown,Unknown,White,Unknown,Unknown,12557,NA
,1,70,For parts or not working,0,None,Black,16,iPad 2,12558,199
,1,0.5,For parts or not working,0,None,Unknown,16,iPad 3,12559,249
iCloud Locked,0,79.95,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12560,NA
"iPad is in fair condition, minimal wear and tear. iPad has cracked screen. iPad will not power on. ",0,119.99,For parts or not working,0,None,Unknown,16,iPad 4,12561,299
3 of 5. This item is NOT working properly. Please read the entire listing carefully before ,0,99.99,For parts or not working,0,None,Unknown,32,iPad mini,12562,249
,1,35,For parts or not working,0,None,White,64,iPad 1,12563,249
,1,20,For parts or not working,0,None,Space Gray,32,iPad Air,12564,499
,0,99.95,For parts or not working,1,Unknown,Unknown,32,iPad 4,12565,479
daughter dropped cracked screen.  got some water in the cracks.  screen lights but you can&#039;t see ,1,10,For parts or not working,0,None,Unknown,16,iPad mini,12566,209
ipad is in great physical condition but is icloud locked,1,1,For parts or not working,0,None,White,16,iPad mini,12567,209
,1,0.99,For parts or not working,0,None,Black,16,iPad 2,12568,199
,1,0.99,For parts or not working,1,Verizon,Space Gray,16,iPad Air,12569,529
,1,20,For parts or not working,0,None,Space Gray,16,iPad mini,12570,209
Item is iCloud locked - Please see all the pictures for any additional information,1,59.99,For parts or not working,0,None,Unknown,16,iPad 2,12571,199
"Being previously owned will show signs of wear.  Normal wear consist of cosmetic dings, dents, and ",1,30,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12572,NA
,1,9.5,For parts or not working,1,Unknown,Black,64,iPad 1,12573,379
Cracked screen. Item sell as is.,0,139.99,For parts or not working,0,None,Unknown,16,iPad mini,12574,209
,1,90,For parts or not working,0,None,Unknown,16,iPad Air,12575,399
,0,229,For parts or not working,Unknown,Unknown,Unknown,16,iPad Air,12576,399
FUNCTIONS. ICLOUD IS LOCKED. IN EXCELLENT PHYSICAL CONDITION. PLEASE SEE PICTURES FOR MORE ,1,0.99,For parts or not working,Unknown,Unknown,White,Unknown,Unknown,12577,NA
,0,63,For parts or not working,Unknown,Unknown,Unknown,64,Unknown,12578,399
,1,35,For parts or not working,0,None,Black,16,iPad 4,12579,299
THE FRONT GLASS IS CRACKED. Power/Unlock button does not work,0,65,For parts or not working,0,None,Unknown,16,iPad 2,12580,199
,1,0.99,For parts or not working,0,None,Unknown,16,iPad 2,12581,199
,1,29.99,For parts or not working,Unknown,Unknown,White,16,iPad 1,12582,149
,0,30,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 1,12583,NA
,1,75,For parts or not working,0,None,White,16,iPad Air,12584,399
,1,99.95,For parts or not working,0,None,White,16,iPad mini,12585,209
,1,0.99,For parts or not working,0,None,Unknown,32,iPad 2,12586,249
,1,89,For parts or not working,0,None,White,64,iPad mini,12587,299
It works but there is something wrong with the I pad. It will shut down and reboot on its own and ,1,20,For parts or not working,0,None,White,16,iPad mini,12588,209
Please note that this unit is in great condition but is locked under another Apple ID,1,149.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12589,NA
,1,75,For parts or not working,0,None,White,16,iPad mini,12590,209
,1,50,For parts or not working,Unknown,Unknown,Unknown,64,iPad 1,12591,249
"Please note that this unit is in working condition, but is locked with another Apple ID",1,99.99,For parts or not working,0,None,Unknown,16,iPad mini 2,12592,299
,0,350,New other (see details),1,AT&T,White,16,iPad mini 2,12593,429
,1,49.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 3,12594,NA
turns on fine but Icloud locked. Broken screen,1,9.99,For parts or not working,0,None,White,16,iPad 2,12595,199
,1,1,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12596,NA
"iPad restarts every 3,4 seconds. We are unable to reset it. Item is in very good cosmetic. iPAD ",1,0.01,For parts or not working,0,None,Black,32,iPad 4,12597,349
Touch screen on this iPad is not working. Home button does not seem to be working either. Selling AS ,0,106.95,For parts or not working,0,None,Black,16,iPad 2,12598,199
Cracked screen.  Has difficulty charging.  Good for Parts/repair.,1,20,For parts or not working,1,AT&T,Black,16,Unknown,12599,429
,0,220,For parts or not working,Unknown,Unknown,White,64,iPad 3,12600,349
Front screen is broken. Is in full working condition.  Works great!,1,85,For parts or not working,0,None,Black,16,iPad mini,12601,209
"Listing is for an iPad Mini Framing and board.  The ipad powers on, but the board has issues with ",0,49.99,For parts or not working,0,None,Unknown,64,iPad mini,12602,299
Locked with iCloud. No password. Can be operated. Cannot be reactivated. Find my iPad is ON.,0,99.99,For parts or not working,0,None,White,16,iPad mini,12603,209
,0,125,For parts or not working,0,None,Black,16,iPad 2,12604,199
,1,0.99,For parts or not working,0,None,Unknown,32,iPad 2,12605,249
,1,0.01,For parts or not working,0,None,Unknown,16,iPad 2,12606,199
Locked with iCloud. Cannot be activated.,0,79.99,For parts or not working,0,None,White,16,iPad mini,12607,209
,1,0.99,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,12608,299
"LCD is cracked, otherwise it works fine.",1,110,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,12609,299
,0,114.48,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12610,NA
,1,10,For parts or not working,0,None,Unknown,32,iPad mini 2,12611,349
,1,9.99,For parts or not working,0,None,Space Gray,16,iPad mini,12612,209
,0,200,For parts or not working,0,None,Black,16,iPad 4,12613,299
"Powers on, but has cracked screen. Includes unit only, and nothing else. Item is defective and does ",0,99.99,For parts or not working,0,None,Space Gray,Unknown,iPad mini,12614,NA
iPad 1st GENERATION 64GB WIFI ONLY. WITH ORIGINAL BOX.  SHOULD BE GOOD. BUT HAS NOT BEEN TESTED,0,150,For parts or not working,0,None,Unknown,64,iPad 1,12615,249
"Bad screen, bad home button, displays. Includes unit only, and nothing else. Unit is not icloud ",0,69.99,For parts or not working,0,None,Black,16,iPad 2,12616,199
Cracked screen on top right corner. Item sell as is.,0,139.99,For parts or not working,0,None,Unknown,16,iPad mini,12617,209
,0,119.99,For parts or not working,0,None,Unknown,16,iPad mini,12618,209
,1,80,For parts or not working,0,None,Black,32,iPad Air,12619,499
"iPad is in good condition, has minimal wear and tear. iPad will not power on. SOLD AS-IS! FOR PARTS ",0,49.99,For parts or not working,0,None,Unknown,16,iPad 2,12620,199
"THIS PRODUCT IS ICLOUD SEALED / ICLOUD LOCKED, UNUSABLE FOR ACTIVATION, SOLD STRICTLY AS IS FOR ",1,0.99,For parts or not working,0,None,Black,16,Unknown,12621,299
Cracked Screen,0,145,For parts or not working,0,None,White,16,iPad 2,12622,199
Crack on screen.  This screen was a replacement screen.  Dent in upper right hand corner,1,10.99,For parts or not working,0,None,White,16,iPad mini,12623,209
,0,109.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12624,NA
"Lot of 10 mixed iPad minis. Colors,models &amp; storage capacity vary between each lot. There may be ",0,999.99,For parts or not working,Unknown,Unknown,White,Unknown,Unknown,12625,NA
,0,85,For parts or not working,0,None,Unknown,16,iPad mini,12626,209
BROKEN SCREEN,0,85,For parts or not working,Unknown,Unknown,White,16,iPad 2,12627,199
For parts. As-Is. Cosmetically in good condition.,0,99.99,For parts or not working,Unknown,Unknown,White,16,iPad mini,12628,209
PROFESSIONALLY REFURBISHED in GOOD CONDITION in ORIGINAL APPLE BOX - COMES WITH 30 DAY WARRANTY !!!,0,249.99,Seller refurbished,0,None,White,16,iPad 4,12629,299
,1,200,Used,0,None,Black,16,iPad 3,12630,249
It is a 32GB model plus 3G but we don&#039;t know what carrier so we are selling as a 32GB wifi.  Maybe ,0,109.99,For parts or not working,0,None,Unknown,32,iPad 2,12631,249
,0,554.77,New,Unknown,Unknown,Unknown,Unknown,Unknown,12632,NA
,0,549.99,New,0,None,Unknown,128,iPad Air,12633,699
Good condition IPAD 2 32gb wifi + 3g verizon. LOT OF FIVE.,0,700,Used,1,Verizon,Unknown,32,iPad 2,12634,379
,1,0.99,Used,1,Unknown,Gold,16,iPad mini 3,12635,529
,0,229,Used,1,AT&T,Unknown,16,iPad 4,12636,429
,0,179,Used,1,Unknown,White,32,iPad 2,12637,379
Great condition,0,219.99,Used,0,None,White,32,iPad 3,12638,299
IPAD 2 64GB BLACK MODEL MC916LL/A WIFI ONLY MODEL.  PICTURE OF IPAD IS ACTUAL UNIT YOU WILL RECEIVE. ,1,49.99,For parts or not working,0,None,Black,64,iPad 2,12639,299
Excellent shape and tested fully functional!,0,149.95,Used,0,None,Black,64,iPad 2,12640,299
Great condition,0,289.98,Used,0,None,White,16,iPad 3,12641,249
,0,72,For parts or not working,0,None,Black,16,iPad 2,12642,199
,1,55,Used,0,None,White,16,iPad 1,12643,149
"Great condition.  iPad only, no charger included.",0,89.95,Used,1,AT&T,Unknown,64,iPad 1,12644,379
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,199,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,12645,NA
,0,100,Used,Unknown,Unknown,White,64,iPad 1,12646,249
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,199,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,12647,NA
These items may have a few scratches and dents due to it being previously used. The item may have ,1,99.98,Seller refurbished,1,Verizon,White,16,iPad 4,12648,429
These items may have a few scratches and dents due to it being previously used. The item may have ,1,99.98,Seller refurbished,0,None,White,32,iPad 4,12649,349
This device is in fair cosmetic condition; it has signs of significant wear and tear including ,0,169.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12650,NA
New ----&gt; No box or accessories. Full warranty.,0,188.88,New other (see details),0,None,Space Gray,16,iPad mini,12651,209
,0,439.99,New,1,Unknown,Unknown,16,iPad mini 3,12652,529
very Nice,1,50,Used,0,None,Unknown,64,iPad 1,12653,249
"Crack on digitizer near top. Top line of digitizer does not respond to touch. Other than that, all ",0,104,For parts or not working,1,Unknown,Black,16,iPad 2,12654,329
,0,95,Used,1,AT&T,Unknown,64,iPad 1,12655,379
,1,199.99,Manufacturer refurbished,0,None,White,16,iPad 4,12656,299
,0,149.99,Used,0,None,Unknown,16,iPad 2,12657,199
,0,7.99,New,Unknown,Unknown,Unknown,Unknown,iPad 3,12658,NA
"Slightly Used. Includes everything you need plus a nice leather case!
There is a slice mark on the ",0,139,Used,1,Unknown,Black,32,Unknown,12659,479
